Photon Energy [eV]	Sample Current [A]_000	Mesh Current [A]_000	Sample/Mesh [adim.]_000	Reference Current [A]_000	Sample Current [A]_001	Mesh Current [A]_001	Sample/Mesh [adim.]_001	Reference Current [A]_001	Sample Current [A]_002	Mesh Current [A]_002	Sample/Mesh [adim.]_002	Reference Current [A]_002	Sample Current [A]_SUM	Mesh Current [A]_SUM	Sample/Mesh [adim.]_SUM	Reference Current [A]_SUM
718.700000	2.006675E-13	3.173841E-13	0.632255	1.681415E-12	4.358948E-13	3.104432E-13	1.404105	2.252477E-12	-2.590521E-12	3.322041E-13	-7.797982	-2.916614E-12	-1.953959E-12	9.600314E-13	-5.761622	1.017278E-12
718.800000	-3.844760E-12	3.318429E-13	-11.586084	-4.430783E-12	-1.441267E-12	3.124465E-13	-4.612845	-7.384923E-13	-5.347093E-12	3.494618E-13	-15.300938	-7.089454E-12	-1.063312E-11	9.937512E-13	-31.499867	-1.225873E-11
718.900000	-7.580676E-13	3.318748E-13	-2.284197	3.464158E-14	1.872001E-12	3.219638E-13	5.814320	3.860643E-12	-1.379030E-12	3.371106E-13	-4.090733	-7.667305E-13	-2.650965E-13	9.909493E-13	-0.560611	3.128554E-12
719.000000	1.338865E-12	3.271763E-13	4.092183	3.734129E-12	-1.592547E-12	3.439275E-13	-4.630474	-1.104313E-12	-2.360169E-12	3.318092E-13	-7.113029	-2.284025E-12	-2.613851E-12	1.002913E-12	-7.651320	3.457907E-13
719.100000	1.124202E-12	3.263261E-13	3.445026	2.313266E-12	8.660947E-13	3.490757E-13	2.481109	1.980733E-12	-1.279311E-12	3.616017E-13	-3.537902	-6.689661E-13	7.109855E-13	1.037003E-12	2.388233	3.625033E-12
719.200000	-1.965748E-12	3.556787E-13	-5.526752	-1.997130E-12	-1.962333E-12	3.472891E-13	-5.650431	-1.740671E-12	1.172063E-12	3.784290E-13	3.097180	2.990999E-12	-2.756019E-12	1.081397E-12	-8.080003	-7.468021E-13
719.300000	-1.229898E-12	3.420727E-13	-3.595429	-8.182003E-14	-8.744672E-13	3.621396E-13	-2.414724	3.142622E-13	-1.461976E-12	3.424540E-13	-4.269116	-3.513776E-13	-3.566341E-12	1.046666E-12	-10.279270	-1.189354E-13
719.400000	1.020180E-13	3.313357E-13	0.307899	1.148162E-12	-2.702645E-12	3.480592E-13	-7.764900	-3.121883E-12	-6.605711E-13	3.489119E-13	-1.893232	9.344241E-14	-3.261198E-12	1.028307E-12	-9.350232	-1.880278E-12
719.500000	-3.120287E-12	3.504899E-13	-8.902643	-3.140906E-12	-7.518845E-13	3.380630E-13	-2.224096	1.692130E-13	4.357277E-12	3.526755E-13	12.354917	8.014823E-12	4.851052E-13	1.041228E-12	1.228178	5.043130E-12
719.600000	-3.262578E-12	3.318489E-13	-9.831517	-3.784780E-12	-1.117113E-12	3.232567E-13	-3.455807	-1.932875E-13	-2.881860E-12	3.533503E-13	-8.155815	-2.793539E-12	-7.261550E-12	1.008456E-12	-21.443139	-6.771606E-12
719.700000	-8.749925E-13	3.523479E-13	-2.483319	9.635568E-13	-4.715072E-13	3.463847E-13	-1.361224	2.281623E-13	8.238578E-13	3.232727E-13	2.548492	2.055475E-12	-5.226418E-13	1.022005E-12	-1.296052	3.247194E-12
719.800000	-2.230916E-12	3.285600E-13	-6.789982	-1.121840E-12	5.139622E-13	3.356133E-13	1.531412	2.256326E-12	1.416597E-12	3.369598E-13	4.204052	3.515458E-12	-3.003575E-13	1.001133E-12	-1.054518	4.649945E-12
